"monstertable.a","monstertable.company","monstertable.c","monstertable.location","monstertable.e","monstertable.f","monstertable.g","monstertable.h","monstertable.i","monstertable.j","monstertable.k","monstertable.u","monstertable.l","monstertable.m","monstertable.n","monstertable.t","monstertable.s","monstertable.r","monstertable.q","monstertable.p","monstertable.o"
"","Name","Hire4vlsi","Locations","Mumbai, Mumbai City","Experience","4 - 10 years","Keywords / Skills","""Mobility Head"", iOS, Android, ""Android SDK"", C, C++, Objective-C, OpenGL, ""3D Graphics"", CVS, Git, Compilers, ""Compiler Design"", OS, Linux, ""Android Architecture"", OOPS, Java, XML, JSON, ""Web Services"", SQLite, UI, ""Google Maps API"", ""Google Play"" Function � IT � Telecom/ ISP","Role","� Team Leader/ Technical Leader � Project Leader/ Project Manager � VP/ Head - Technology (IT) Industry � IT/ Computers - Software � Real Estate � Telecom � Semiconductor","Posted On","12th Apr 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Delhi, Noida","Experience","1 - 5 years","Keywords / Skills","""Big Data"", Scala, AWS, ""Distributed Systems"", OOPS, Java, Ruby, C++, ""Open Source"", Github, ""Data Structures"", ""Data Structure"", Algos, Algorithm, Algorithms, JVM Function IT","Role","� Software Engineer/ Programmer � Systems Engineer � System Analyst/ Tech Architect Industry IT/ Computers - Software","Posted On","12th Apr 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Mumbai","Experience","2 - 6 years","Keywords / Skills","Devops, ""Dev Ops"", ""Devops Engineer"", Shell, Perl, Python, Ruby, ""Linux Admin"", ""Unix Admin"", AWS, ""Amazon Web Services"", EC2, S3, ELB, RDS, VPC, MySQL, InnoDB, ""Performance Tuning"", Chef, Puppet Function � IT � Real Estate","Role","� Systems Engineer � System Administrator Industry � IT/ Computers - Software � Real Estate","Posted On","12th Apr 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Delhi, Gurgaon","Experience","2 - 12 years","Keywords / Skills","C, C++, Linux, POSIX, GDB, DDD, Python, PHP, Perl, VOIP, RTP, RTCP, SIP, Algorithm, Algorithms, Algos, ""Data Structures"" Function � IT � Telecom/ ISP","Role","� Software Engineer/ Programmer � Team Leader/ Technical Leader � System Analyst/ Tech Architect � Project Leader/ Project Manager Industry � ITES/BPO � IT/ Computers - Hardware � IT/ Computers - Software � Telecom","Posted On","9th Apr 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Delhi, Gurgaon","Experience","10 - 20 years","Keywords / Skills","""EPC Architect"", ""Enhanced Packet Core"", LTE, 3GPP, MME, SGW, PGW, HSS, PCEF, PCRF, DNS, OCS, NFV, SDN Function � IT � Telecom/ ISP","Role","� Team Leader/ Technical Leader � System Analyst/ Tech Architect � Other Telecom/ISP - Technical Architect Industry � IT/ Computers - Hardware � IT/ Computers - Software � Telecom � Semiconductor","Posted On","1st Apr 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Mumbai, Mumbai City","Experience","2 - 12 years","Keywords / Skills","""Data Scientist"", IIT, IISc, ISI, PhD, Analytics, ""Machine Learning"", algorithms, algos, Statistics, IR, ""Information Retrieval"", Python, SQL, R, SciPy, Scikit, Django, NoSql, Hadoop, MongoDB, ""Predictive Analytics"", AI, ""Artificial Intelligence"" Function � IT � Analytics/Business Intelligence","Role","� Software Engineer/ Programmer � Team Leader/ Technical Leader Industry � IT/ Computers - Software � KPO/Analytics � Real Estate","Posted On","23rd Mar 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Mumbai, Mumbai City","Experience","2 - 12 years","Keywords / Skills","""Data Scientist"", IIT, IISc, ISI, PhD, Analytics, ""Machine Learning"", algorithms, algos, Statistics, IR, ""Information Retrieval"", Python, SQL, R, SciPy, Scikit, Django, NoSql, Hadoop, MongoDB, ""Predictive Analytics"", AI, ""Artificial Intelligence"" Function � Analytics/Business Intelligence � Manufacturing/ Engineering/ R&D","Role","� Other Analytics/Business Intelligence � Design Manager/ Engineer � R & D Manager � Research Scientist Industry � IT/ Computers - Software � KPO/Analytics � Semiconductor","Posted On","23rd Mar 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Mumbai, Mumbai City","Experience","2 - 8 years","Keywords / Skills","""Database Architect"", ""Database Architects"", ""Performance tuning"", ""Data Warehousing"", DBA, "" Database Administration"", Postgres, NoSQL, MongoDB, HBase, ElasticSearch Function � IT � Real Estate","Role","� Team Leader/ Technical Leader � System Analyst/ Tech Architect � Database Administrator (DBA) � Database Architect/ Designer Industry � IT/ Computers - Software � Real Estate","Posted On","23rd Mar 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Delhi, Noida","Experience","2 - 7 years","Keywords / Skills","""Devops Engineer"", devops, Linux, EC2, AWS, Puppet, Bash, Perl, Python, Ruby, Mongo, MongoDB, Apache, Hadoop, Hbase, RAID, Scrum, Agile, Saas, Vmware, Git, Bitbucket, Bamboo, NFS, VPN, Nagios, Gangilia, CentOS, Redhat Function IT","Role","� Systems Engineer � System Administrator Industry � ITES/BPO � IT/ Computers - Hardware � IT/ Computers - Software � KPO/Analytics","Posted On","23rd Mar 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Delhi, Noida","Experience","4 - 8 years","Keywords / Skills","Java, OOPS, ""Core Java"", ""Design patterns"", Spring, Hibernate, ESB, Camel, SAAS, visualvm, jstack, histogram, heap, JMS, REST, JSON, JSONP, XML, NoSQL, MongoDB, AWS, Ehcache, Memcache, Hazelcast, Hbase, Hadoop, SQL, Algorithms, ""Data Structures"" Function � IT � Analytics/Business Intelligence","Role","� Software Engineer/ Programmer � System Analyst/ Tech Architect Industry � IT/ Computers - Software � KPO/Analytics","Posted On","22nd Mar 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Mumbai, Mumbai City","Experience","3 - 8 years","Keywords / Skills","""Quality Engineer"", ""Quality Head"", ""Quality Manager"", ""Teasting Lead"", ""Testing Manager"", ""web platform testing"", GruntJS, PhantomJS, Agile, ""Rails testing"", rspec, minitest, ""UI testing"", ""Unit testing"", Mocha, Chai, Jasmine Function � IT � Real Estate","Role","� Team Leader/ Technical Leader � Software Test Engineer � Quality Assurance Executive � Quality Assurance - Manager Industry � IT/ Computers - Software � Real Estate","Posted On","22nd Mar 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Delhi, Noida","Experience","2 - 5 years","Keywords / Skills","""Data Extraction"", ""Network Programming"", Python, HTML, CSS, Javascript, ""Java Script"", Regular, webkit, Gecko, Selenium, PhantomJS, ""UI automation"", Kapow, connotate, REST, ""Web services"", XML, JSON, Java, ""Big Data"", Hadoop, MongoDB, ""Web Analytics"" Function � IT � Analytics/Business Intelligence","Role","� Software Engineer/ Programmer � System Analyst/ Tech Architect � Software Test Engineer Industry � IT/ Computers - Software � KPO/Analytics","Posted On","22nd Mar 2015","","","","","","","",""
"","Name","Hire4vlsi","Locations","Delhi, Noida","Experience","13 - 23 years","Keywords / Skills","""Engineering Manager"", C++, Agile, Scrum, SDLC, Games, Gaming Function IT","Role","� VP/ Head - Technology (IT) � SBU Head /Profit Centre Head Industry IT/ Computers - Software","Posted On","22nd Mar 2015","","","","","","","",""
"","Name","Hirecraft Software Private Limited","Locations","Bengaluru / Bangalore","Experience","0 - 2 years","Keywords / Skills","Resume Writer, Resume Writing, Career Counselor Function � Admin/Secretarial � Human Resources","Role","� Other Admin/Clerical/Secretarial � Graduate Trainee / Management Trainee Industry IT/ Computers - Software Salary 0.00 - 3.50 lacs","Posted On","23rd Mar 2015","Job Ref code","RW 102","","","","","",""
"","Name","Hirecraft Software Private Limited","Locations","Bengaluru / Bangalore","Experience","0 - 1 years","Keywords / Skills","Xcode, X Code, Iphone, Ipad","Education","BCA, Diploma Function IT","Role","Technical Support Engineer Industry IT/ Computers - Software Salary 0.00 - 2.50 lacs","Posted On","23rd Mar 2015","Job Ref code","TSE104","","","",""
"","Name","Hirecraft Software Private Limited","Locations","Bengaluru / Bangalore","Experience","1 - 3 years","Keywords / Skills","Technical Writer, Technical Writing, Tech. Writer Function IT","Role","Technical Writer Industry IT/ Computers - Software Salary 0.00 - 3.50 lacs","Posted On","23rd Mar 2015","Job Ref code","TW 101","","","","","",""
"","Name","Hirecraft Software Private Limited","Locations","Bengaluru / Bangalore","Experience","1 - 3 years","Keywords / Skills","Xcode, X Code, Iphone, Ipad Function IT","Role","Software Engineer/ Programmer Industry IT/ Computers - Software Salary 0.00 - 3.50 lacs","Posted On","23rd Mar 2015","Job Ref code","IOS 102","","","","","",""
"","Name","Hirecraft Software Private Limited","Locations","Bengaluru / Bangalore","Experience","2 - 4 years","Keywords / Skills","AngularJS, Angular.Js, Angular Js, Angular. Js Function IT","Role","Software Engineer/ Programmer Industry IT/ Computers - Software Salary 4.00 - 8.00 lacs","Posted On","23rd Mar 2015","Job Ref code","AJ 101","","","","","",""
"","Name","Hirecraft Software Private Limited","Locations","Bengaluru / Bangalore","Experience","1 - 6 years","Keywords / Skills","Bootstrap, Boot strap Function IT","Role","Software Engineer/ Programmer Industry IT/ Computers - Software Salary 2.00 - 5.20 lacs","Posted On","23rd Mar 2015","Job Ref code","WD102","","","","","",""
"","Name","Hirecraft Software Private Limited","Locations","Bengaluru / Bangalore","Experience","5 - 8 years","Keywords / Skills",".net, PL sql, project lead,","Education","B.E/B.Tech, MCA Function IT","Role","Project Leader/ Project Manager Industry IT/ Computers - Software","Posted On","23rd Mar 2015","Job Ref code","PL101","","","",""
"","Name","Hirecraft Software Private Limited","Locations","Bengaluru / Bangalore","Experience","1 - 3 years","Keywords / Skills","Very good communication Skills(Written and Oral) and knowledge of collections and a strong coordinator. Able to handle angered client very politely and bring a solution. Ready to work on a 6 day week basis","Education","Any graduate Function Customer Service/ Call Centre/ BPO","Role","Customer Service Executive (Non-voice) Industry Any Salary 2.10 - 3.20 lacs","Posted On","23rd Mar 2015","Job Ref code","CRO108","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","5 - 9 years","Keywords / Skills","""Oracle Demantra"", ""Oracle eBS"", ""Oracle EBS"", ""eBS implementation"", Om, Inv, Ascp, R12, Demantra, ""Oracle E - Business Suite"", ""Solution Design"", ""Requirement Gathering"", ""Gap Analysis"" Function IT","Role","ERP, CRM - Functional Consultant Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","24929","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Pune","Experience","3 - 6 years","Keywords / Skills","Invoicing, ""Quality Compliance"", ""Revenue Recognition"", ""Project Operations"", ""Resource Utilization"", ""Analytical Skills"", ""Project Reports"" Function Customer Service/ Call Centre/ BPO","Role","� Operations Manager � Other Customer Service/ Call Center - PMO-Project Operations & Compliance Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","27567","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","5 - 8 years","Keywords / Skills",""".Net"", ""ADO.NET"", Linq, SQL, ""Entity Framework"", Nhibernet Function IT","Role","Team Leader/ Technical Leader Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","28173","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","12 - 18 years","Keywords / Skills","""Dot net"", ""C#"", ""ASP.Net"", ""SQL Server"", MVC, ""Project Management"", ""Problem Solving"" Function IT","Role","Project Leader/ Project Manager Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","28172","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","5 - 8 years","Keywords / Skills","Dac, ""Oracle Bi Apps"", Informatica, Obiee, ""Oracle Sql"", ""Data Warehousing"", Etl, ""Business Intelligence"", ""Pl Plsql"" Function IT","Role","Datawarehousing Consultants Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","27928","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","5 - 8 years","Keywords / Skills","Dac, ""Oracle Bi Apps"", Informatica, Obiee, ""Oracle Sql"", ""Data Warehousing"", Etl, ""Business Intelligence"", ""Pl Plsql"" Function IT","Role","Datawarehousing Consultants Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","27927","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","11 - 15 years","Keywords / Skills","""Project Management"", ""Delivery Management"", ""Project Leading"", ""Project Communications"", Presales, ""Proposal Preparation"", ""Resource Utilization"", ""Design Development"", ""Customer Satisfaction"", ""Customer Service"" Function IT","Role","Project Leader/ Project Manager Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","27562","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","5 - 7 years","Keywords / Skills","""Oracle E-Business Suite"", EBS, R12, ""Oracle Apps DBA"", DBA Function IT","Role","Database Administrator (DBA) Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","23081","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","3 - 5 years","Keywords / Skills","""Webfocus Developer"", Webfocus, Flex, HTML5, ""Active Technologies"", Cognos, OBIEE Function IT","Role","Software Engineer/ Programmer Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","22622","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Pune","Experience","4 - 8 years","Keywords / Skills","""SAP Basis administrator"", ""SAP Basis"", HANA, ""SAP BASIS"" Function IT","Role","ERP, CRM - Technical Consultant Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","26883","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","5 - 7 years","Keywords / Skills","""Linux Administration"", ""Linux Administrator"", Linux, OVM, RHEL Function IT","Role","System Administrator Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","26710","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","8 - 11 years","Keywords / Skills","""Oracle Financials Functional"", ""Oracle Financials"", ""R12"", ""Oracle Apps"", ""Oracle Finance"" Function IT","Role","ERP, CRM - Functional Consultant Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","26718","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","7 - 11 years","Keywords / Skills","""Java Architect"", Java, J2EE, Servlets, JDBC, HTML5, ""Restful webservices"", JBOSS, TOMCAT Function IT","Role","System Analyst/ Tech Architect Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","22804","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","3 - 7 years","Keywords / Skills","R12, ""Oracle Financials"", ""Functional Consultant"", ""Oracle Apps"" Function IT","Role","ERP, CRM - Functional Consultant Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","22387","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","4 - 8 years","Keywords / Skills","""R12"", ""Project Costing"", Billing, ""Data Migration"" Function IT","Role","Software Engineer/ Programmer Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","26725","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Pune","Experience","5 - 10 years","Keywords / Skills","Operations, ""Asset management"", Lean, SCM, ""inventory management"", ""production management"", ""manufacturing & distribution strategy"", JIT, ""six-sigma"", TPM Function IT","Role","Other Software/Hardware/EDP - Management Consulting- Subject Matter Expert Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","26756","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","7 - 11 years","Keywords / Skills","""Oracle R12"", ""HCM Functional"", ""Human Capital Management"", HCM, ""Oracle HCM""","Education","B.E/B.Tech, MBA, MCA, M.E/M.Tech/MS Function IT","Role","� System Analyst/ Tech Architect � ERP, CRM - Functional Consultant Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","26742","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","10 - 12 years","Keywords / Skills","""Infrastructure Manager"", ""Infrastructure Head"", Cisco, CCNA, CCDA, CCNP, MCSE, MCSA Function IT","Role","IT/ Networking (EDP) - Manager Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","27348","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Pune","Experience","4 - 6 years","Keywords / Skills","""Biztalk Admin"", Biztalk, ""Biz Talk""","Education","B.E/B.Tech, MCA, M.E/M.Tech/MS Function IT","Role","System Administrator Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","27764","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad, Pune","Experience","4 - 10 years","Keywords / Skills","""SAP SD"", ""Logistics Execution"", ""SAP-SD"", ""SAP SD"", ""sales & distribution""","Education","B.E/B.Tech, MCA, M.E/M.Tech/MS Function IT","Role","ERP, CRM - Functional Consultant Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","28117","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Pune","Experience","4 - 8 years","Keywords / Skills","PHP, Bizlink Function IT","Role","Software Engineer/ Programmer Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","28118","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","2 - 5 years","Keywords / Skills","""Kronos Consultant"", Kronos, KRONOS","Education","B.E/B.Tech, MCA, M.E/M.Tech/MS Function IT","Role","Software Engineer/ Programmer Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","27875","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad, Pune","Experience","5 - 7 years","Keywords / Skills","""Oracle ASCP"", ""Functional Consultant"", ""R12"", ASCP, VCP, WMS, OTM, DEMANTRA","Education","B.E/B.Tech, MCA, M.E/M.Tech/MS Function IT","Role","ERP, CRM - Functional Consultant Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","26748","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","2 - 5 years","Keywords / Skills","""Oracle BI Apps"", ""Oracle Apps BI"", ""Data Warehousing"", ETL, ""Datawarehouse Application Console""","Education","B.E/B.Tech, MCA, M.E/M.Tech/MS Function IT","Role","Software Engineer/ Programmer Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","27112","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Hyderabad / Secunderabad","Experience","6 - 8 years","Keywords / Skills","""Oracle OPM Consultant"", ""Oracle OPM"", ""Oracle R12 OPM"" Function IT","Role","� ERP, CRM - Technical Consultant � Other Software/Hardware/EDP - Oracle OPM Consultant Industry IT/ Computers - Software","Posted On","14th Apr 2015","Job Ref code","25727","","","","","",""
"","Name","Hitachi Consulting Software Services India Limited","Locations","Other India (Hyderabad - Bengaluru - Pune)","Experience","13 - 18 years","Keywords / Skills","Presales, Sales, ""Delivery Management"", Transition, ""Pre Sales"", ""Pre-Sales""","Education","B.E/B.Tech, MCA, M.E/M.Tech/MS Function Sales/ Business Development","Role","Presales Consultant Industry ITES/BPO","Posted On","14th Apr 2015","Job Ref code","25576","","","",""
"","Name","HKP Consultant","Locations","Noida","Experience","0 - 2 years","Keywords / Skills","Recruiter, Recruitment, HR Recruiter, Backend, Inbound Function � Customer Service/ Call Centre/ BPO � Human Resources","Role","� Fresher � Telesales Executive � Fresher � HR Executive / Recruiter Industry � ITES/BPO � Consultancy","Posted On","24th Apr 2015","","","","","","","",""
"","Name","HNL Systems Private Limited","Locations","Mumbai, Mumbai City, Navi Mumbai, Thane","Experience","4 - 8 years","Keywords / Skills","""R & D Electronics"", ""software programming"", ""embedded software"", ""Analogue designing"", ""Digital Circuits"", ""embedded hardware"", ""embedded software"", ""Embedded Development"", ""Firmware"", ""Digital Circuit Design"", ""EMI"", ""EMC"", ""microcontroller""","Education","B.E/B.Tech, B.Sc, Diploma, M.Sc Stream � Instrumentation � Electrical � Electronics � Production/Industrial Engineering � Electrical engineering � Electronics Function � Manufacturing/ Engineering/ R&D � Oil & Gas","Role","� Design Manager/ Engineer � Electrical Engineer � Electronics/ Instrumentation Engineer � Electrical and Instrumentation Engineering Industry � Bio Technology & Life Sciences � Chemicals/Petrochemicals � KPO/Analytics � Machinery/ Equipment Mfg. � Oil/ Gas/ Petroleum","Posted On","24th Apr 2015","","","","","",""
"","Name","HNL Systems Private Limited","Locations","Mumbai, Mumbai City, Navi Mumbai, Thane","Experience","2 - 4 years","Keywords / Skills","sales coordination, sales coordinator, sales coordinator, office assistant, office coordinator, office executive.","Education","B.E/B.Tech, B.Sc, Diploma, M.E/M.Tech/MS, M.Sc Stream � Instrumentation � Electrical � Electronics/Telecommunications � Production/Industrial � Production/Industrial Engineering � Electrical engineering � Electronics/Telecommunications � Electrical � Production/Industrial � Electronics/Telecommunications � Instrumentation Function � Admin/Secretarial � Marketing & Communications","Role","� Administration Executive � Telesales/ Telemarketing Executive � Product Executive Industry � Bio Technology & Life Sciences � Machinery/ Equipment Mfg. � Oil/ Gas/ Petroleum � Engineering, Procurement, Construction � Consumer Electronics/Appliances","Posted On","10th Apr 2015","","","","","",""
"","Name","HNL Systems Private Limited","Locations","Mumbai, Mumbai City, Navi Mumbai, Thane","Experience","18 - 28 years","Keywords / Skills","Instrumentation Manager, Process Instrument Manager, Director Instrumentation, gas detection systems, gas detecting instruments.","Education","B.E/B.Tech, M.E/M.Tech/MS Stream � Instrumentation � Electrical � Electronics/Telecommunications � Production/Industrial � Electrical � Production/Industrial � Electronics/Telecommunications � Instrumentation Function � Manufacturing/ Engineering/ R&D � Oil & Gas","Role","� Chief Engineer � VP/ GM - Engg/ Production � VP/GM - R & D (Production & Engg) � CEO/ MD/ Country Manager Industry � Chemicals/Petrochemicals � Machinery/ Equipment Mfg. � Oil/ Gas/ Petroleum � Pharmaceutical � Power/Energy � Electrical/Switchgear � Engineering, Procurement, Construction","Posted On","31st Mar 2015","","","","","",""
"","Name","HNL Systems Private Limited","Locations","Mumbai, Mumbai City, Navi Mumbai, Thane","Experience","2 - 5 years","Keywords / Skills","Content Development, Content Writing, content developer, technical writing, Corel draw, graphics, Photoshop","Education","BCA, B.E/B.Tech, B.Sc Function � Marketing & Communications � Advertising/Entertainment/Media","Role","� Editor/ Managing Editor � Content Writer � Technical Writer � Copy Writer Industry � Bio Technology & Life Sciences � Entertainment/ Media/ Publishing � IT/ Computers - Software � Machinery/ Equipment Mfg. � E-Learning � Engineering, Procurement, Construction � Market Research � Public Relations (PR)","Posted On","31st Mar 2015","","","","","",""
"","Name","HNL Systems Private Limited","Locations","Mumbai, Mumbai City, Navi Mumbai, Thane","Experience","9 - 18 years","Keywords / Skills","CCSP, CCSA, server, security, cloud computing,","Education","BCA, B.E/B.Tech, Diploma, MCA, M.E/M.Tech/MS Stream � Instrumentation � Electrical � Electronics/Telecommunications � Electrical engineering � Electronics/Telecommunications � Electrical � Production/Industrial � Electronics/Telecommunications � Instrumentation Function IT","Role","� Software Engineer/ Programmer � System Administrator � System Security - Engineer � ERP, CRM - Functional Consultant Industry � IT/ Computers - Hardware � IT/ Computers - Software � Machinery/ Equipment Mfg. � E-Learning � Electrical/Switchgear","Posted On","26th Mar 2015","","","","","",""
"","Name","HNL Systems Private Limited","Locations","Mumbai, Mumbai City, Navi Mumbai, Thane","Experience","5 - 8 years","Keywords / Skills","Native/Phone gap Development, iOS / Android / Windows phones, Application Development, HTML5, CSS#, JavaScript, J Query, swift, AJAX, JSON","Education","BCA, B.Com, B.E/B.Tech, B.Sc, Diploma, MCA, M.E/M.Tech/MS, M.Sc Stream � Computers � Electrical � Electronics/Telecommunications � Computers � Electronics � Production/Industrial Engineering � Computers � Electrical engineering � Electronics/Telecommunications � Computers � Electrical � Electronics/Telecommunications � Instrumentation � Computers � Electronics Function IT","Role","� Software Engineer/ Programmer � ERP, CRM - Functional Consultant � ERP, CRM - Technical Consultant � Web Master/ Web Site Manager Industry � IT/ Computers - Software � Dotcom � E-Learning","Posted On","25th Mar 2015","","","","","",""
"","Name","Holysteps Innovations","Locations","Bengaluru / Bangalore","Experience","1 - 10 years","Keywords / Skills","""Fitness trainer"", ""gym trainer"", ""personal trainer"", ""gym instructor"", ""gym"" Function Admin/Secretarial","Role","Other Admin/Clerical/Secretarial","Posted On","18th Mar 2015","","","","","","","",""
"","Name","Hopewell Tableware Private Limited","Locations","Jalandhar, Ludhiana","Nationality","India","Experience","2 - 5 years","Keywords / Skills","sales and marketing Function Sales/ Business Development","Role","� Sales Exec/ Sales Representative � Area/ Territory Sales Manager Industry � FMCG � Insurance � Ceramics & Sanitary Ware � Food & Packaged Food � Textiles / Yarn / Fabrics / Garments � Consumer Electronics/Appliances � Paints � Printing/ Packaging Salary 2.20 - 4.30 lacs","Posted On","13th Apr 2015","","","","","",""
"","Name","Hopewell Tableware Private Limited","Locations","Mumbai, Mumbai City","Nationality","India","Experience","1 - 5 years","Keywords / Skills","sales, marketing, product branding, reporting, sales collection","Education","B.B.A, B.Com, B.E/B.Tech, MBA Function � Sales/ Business Development � Manufacturing/ Engineering/ R&D","Role","� Sales Exec/ Sales Representative � Institutional sales Industry � FMCG � Ceramics & Sanitary Ware � Food & Packaged Food � Textiles / Yarn / Fabrics / Garments � Consumer Electronics/Appliances � Office Equipment/Automation Salary 2.20 - 4.30 lacs","Posted On","13th Apr 2015","","","",""
"","Name","Hopewell Tableware Private Limited","Locations","Ahmedabad, Baroda","Nationality","India","Experience","1 - 10 years","Keywords / Skills","sales and marketing","Education","Any graduate Stream Any Function Sales/ Business Development","Role","� Sales Exec/ Sales Representative � Area/ Territory Sales Manager Industry � FMCG � Ceramics & Sanitary Ware � Food & Packaged Food � Textiles / Yarn / Fabrics / Garments � Consumer Electronics/Appliances � Paints Salary 2.20 - 4.30 lacs","Posted On","8th Apr 2015","","","",""
"","Name","Hostin Services Private Limited","Locations","Pune","Nationality","India","Experience","1 - 4 years","Keywords / Skills","web developer, frontend developer, software developer, HTML, CSS, Bootstrap, web development, web technologies, interface design, design and development","Education","Any graduate Stream Any Function � IT � Telecom/ ISP","Role","Software Engineer/ Programmer Industry � IT/ Computers - Software � Telecom � ISP Salary 1.50 - 3.00 lacs","Posted On","24th Apr 2015","","","",""
"","Name","Hostin Services Private Limited","Locations","Pune","Nationality","India","Experience","1 - 3 years","Keywords / Skills","system administrator, linux system administrator, Redhat Certified, Fresher, technical support executive, customer support, RHCE, RHCSA, redhat engineer, linux , webhosting, cloud servers","Education","Any graduate, BCA, B.E/B.Tech, MCA, MCM, PGDCA Stream � Electronics/Telecommunications � Computers � Electronics/Telecommunications � Computers � Computers � Computers Function Telecom/ ISP","Role","� Network Administrator � Telecom Engineer � System Administrator � System Engineer Industry � IT/ Computers - Software � Telecom � ISP Salary 1.10 - 3.00 lacs","Posted On","24th Apr 2015","","","",""
